date,data
2003-02-27-00:15,1683.75 
2003-02-27-00:30,1683.75 
2003-02-27-00:45,1854.85 
2003-02-27-01:00,1603.37
2003-02-27-01:15,1577.44
2003-02-27-01:30,1794.76
2003-02-27-01:45,1560.83
2003-02-27-02:00,1695.08
2003-02-27-02:15,1456.78
2003-02-27-02:30,1699.37
2003-02-27-02:45,1698.30
2003-02-27-03:00,1557.41
2003-02-27-03:15,1293.46
2003-02-27-03:30,1503.03
2003-02-27-03:45,1517.29
2003-02-27-04:00,1704.10
2003-02-27-04:15,1530.38
2003-02-27-04:30,1313.11
2003-02-27-04:45,1247.48
2003-02-27-05:00,1196.53
2003-02-27-05:15,1183.56
2003-02-27-05:30,1114.84
2003-02-27-05:45,1078.81
2003-02-27-06:00,1103.78
2003-02-27-06:15,1299.02
2003-02-27-06:30,1140.38
2003-02-27-06:45,1109.14
2003-02-27-07:00,1101.04
2003-02-27-07:15,1103.22
2003-02-27-07:30,1220.92
2003-02-27-07:45,1444.87
2003-02-27-08:00,1477.38
2003-02-27-08:15,1239.29
2003-02-27-08:30,1113.93
2003-02-27-08:45,1052.46
2003-02-27-09:00,1098.04
2003-02-27-09:15,1217.70
2003-02-27-09:30,1314.73
2003-02-27-09:45,1497.84
2003-02-27-10:00,1608.98
2003-02-27-10:15,1798.50
2003-02-27-10:30,1889.51
2003-02-27-10:45,1996.06
2003-02-27-11:00,1917.08
2003-02-27-11:15,2033.75
2003-02-27-11:30,2251.35
2003-02-27-11:45,2297.87
2003-02-27-12:00,2426.92
2003-02-27-12:15,2308.72
2003-02-27-12:30,2291.94
2003-02-27-12:45,2313.28
2003-02-27-13:00,2360.43
2003-02-27-13:15,2329.43
2003-02-27-13:30,2058.43
2003-02-27-13:45,2112.36
2003-02-27-14:00,2349.76
2003-02-27-14:15,2211.05
2003-02-27-14:30,2181.98
2003-02-27-14:45,2412.01
2003-02-27-15:00,2511.78
2003-02-27-15:15,2527.02
2003-02-27-15:30,2588.92
2003-02-27-15:45,2634.03
2003-02-27-16:00,2579.40
2003-02-27-16:15,2512.98
2003-02-27-16:30,2580.63
2003-02-27-16:45,2526.76
2003-02-27-17:00,2412.97
2003-02-27-17:15,2258.75
2003-02-27-17:30,2331.14
2003-02-27-17:45,2340.34
2003-02-27-18:00,2299.61
2003-02-27-18:15,2385.71
2003-02-27-18:30,2267.22
2003-02-27-18:45,2146.90
2003-02-27-19:00,2070.49
2003-02-27-19:15,2003.44
2003-02-27-19:30,2097.09
2003-02-27-19:45,2483.60
2003-02-27-20:00,2495.59
2003-02-27-20:15,2294.68
2003-02-27-20:30,2235.75
2003-02-27-20:45,2102.11
2003-02-27-21:00,2393.59
2003-02-27-21:15,2250.60
2003-02-27-21:30,2176.80
2003-02-27-21:45,2109.34
2003-02-27-22:00,2196.24
2003-02-27-22:15,2239.58
2003-02-27-22:30,2110.97
2003-02-27-22:45,2027.22
2003-02-27-23:00,2118.13
2003-02-27-23:15,2077.21
2003-02-27-23:30,1909.75
2003-02-27-23:45,1898.17
2003-02-28-00:00,1829.23
