date,data
2005-10-28-00:00,11682.93
2005-10-28-00:15,11697.34
2005-10-28-00:30,11709.92
2005-10-28-00:45,10388.29
2005-10-28-01:00,10445.75
2005-10-28-01:15,10540.36
2005-10-28-01:30,9940.78
2005-10-28-01:45,9919.54
2005-10-28-02:00,9848.27
2005-10-28-02:15,9808.58
2005-10-28-02:30,9664.25
2005-10-28-02:45,9517.67
2005-10-28-03:00,8820.23
2005-10-28-03:15,9487.88
2005-10-28-03:30,9241.88
2005-10-28-03:45,9195.72
2005-10-28-04:00,8610.56
2005-10-28-04:15,8165.18
2005-10-28-04:30,8703.04
2005-10-28-04:45,8608.17
2005-10-28-05:00,8368.44
2005-10-28-05:15,8567.68
2005-10-28-05:30,7948.10
2005-10-28-05:45,7735.26
2005-10-28-06:00,7708.49
2005-10-28-06:15,7741.83
2005-10-28-06:30,7650.01
2005-10-28-06:45,7818.37
2005-10-28-07:00,6844.44
2005-10-28-07:15,7528.90
2005-10-28-07:30,7012.25
2005-10-28-07:45,7472.01
2005-10-28-08:00,6353.24
2005-10-28-08:15,5932.76
2005-10-28-08:30,5946.49
2005-10-28-08:45,6284.71
2005-10-28-09:00,6978.49
2005-10-28-09:15,7967.06
2005-10-28-09:30,10696.04
2005-10-28-09:45,10260.16
2005-10-28-10:00,9379.05
2005-10-28-10:15,8623.96
2005-10-28-10:30,7757.81
2005-10-28-10:45,9470.39
2005-10-28-11:00,9883.86
2005-10-28-11:15,9313.12
2005-10-28-11:30,8210.86
2005-10-28-11:45,8672.35
2005-10-28-12:00,9286.32
2005-10-28-12:15,9709.54
2005-10-28-12:30,9559.45
2005-10-28-12:45,9410.90
2005-10-28-13:00,8573.46
2005-10-28-13:15,13411.06
2005-10-28-13:30,15035.25
2005-10-28-13:45,15256.53
2005-10-28-14:00,14486.27
2005-10-28-14:15,12503.32
2005-10-28-14:30,12294.00
2005-10-28-14:45,13273.01
2005-10-28-15:00,14450.75
2005-10-28-15:15,13952.69
2005-10-28-15:30,13684.63
2005-10-28-15:45,13857.39
2005-10-28-16:00,13189.40
2005-10-28-16:15,14085.52
2005-10-28-16:30,15564.56
2005-10-28-16:45,15014.35
2005-10-28-17:00,15977.72
2005-10-28-17:15,14765.83
